conteo,tupla,X,L,M,T,P,Pr
2,8|42,124,192,192|113|69,192|113|69,0.0005333333333333334,0.44461111111111107
2,8|43,124,77,77|176|121,77|176|121,0.0005333333333333334,0.44461111111111107
1,9|10,187,117,117|257,117|257,0.0002666666666666667,0.4445222222222222
1,9|11,187,241,241|133,241|133,0.0002666666666666667,0.4445222222222222
8,9|12,41,58,58|1|57|27|117|29|24|46|15,58|1|57|27|117|29|24|46|15,0.0021333333333333334,0.4451444444444444
4,9|13,74,25,25|113|61|144|31,25|113|61|144|31,0.0010666666666666667,0.4447888888888889
3,9|14,93,75,75|122|17|160,75|122|17|160,0.0008,0.44469999999999993
4,9|15,74,92,26,92|184|46|26|26,0.0010666666666666667,0.6670222222222222
4,9|16,74,25,25|132|34|69|114,25|132|34|69|114,0.0010666666666666667,0.4447888888888889
3,9|17,93,24,24|43|27|280,24|43|27|280,0.0008,0.44469999999999993
4,9|18,74,138,138|122|29|24|61,138|122|29|24|61,0.0010666666666666667,0.4447888888888889
4,9|19,74,17,17|121|92|46|98,17|121|92|46|98,0.0010666666666666667,0.4447888888888889
5,9|20,62,17,17|53|87|199|2|16,17|53|87|199|2|16,0.0013333333333333333,0.44487777777777776
2,9|23,124,59,59|171|144,59|171|144,0.0005333333333333334,0.44461111111111107
5,9|24,62,3,3|89|99|131|36|16,3|89|99|131|36|16,0.0013333333333333333,0.44487777777777776
3,9|25,93,3,3|85|109|177,3|85|109|177,0.0008,0.44469999999999993
1,9|26,187,197,197|177,197|177,0.0002666666666666667,0.4445222222222222
4,9|27,74,3,3|91|26|156|98,3|91|26|156|98,0.0010666666666666667,0.4447888888888889
5,9|28,62,24,24|43|90|57|97|63,24|43|90|57|97|63,0.0013333333333333333,0.44487777777777776
3,9|29,93,92,92|28|179|75,92|28|179|75,0.0008,0.44469999999999993
2,9|30,124,25,25|251|98,25|251|98,0.0005333333333333334,0.44461111111111107
6,9|31,53,67,8,67|8|68|48|8|159|16,0.0016,0.6671999999999999
2,9|32,124,289,289|67|18,289|67|18,0.0005333333333333334,0.44461111111111107
