conteo,tupla,X,L,M,T,P,Pr
1,11|31|35,187,162,162|212,162|212,0.0002666666666666667,0.4445222222222222
1,11|31|36,187,162,162|212,162|212,0.0002666666666666667,0.4445222222222222
1,11|31|41,187,365,365|9,365|9,0.0002666666666666667,0.4445222222222222
1,11|32|33,187,322,322|52,322|52,0.0002666666666666667,0.4445222222222222
1,11|32|39,187,36,36|338,36|338,0.0002666666666666667,0.4445222222222222
1,11|33|41,187,365,365|9,365|9,0.0002666666666666667,0.4445222222222222
1,11|34|36,187,264,264|110,264|110,0.0002666666666666667,0.4445222222222222
1,11|34|38,187,33,33|341,33|341,0.0002666666666666667,0.4445222222222222
2,11|34|39,124,68,68|13|293,68|13|293,0.0005333333333333334,0.44461111111111107
1,11|35|36,187,162,162|212,162|212,0.0002666666666666667,0.4445222222222222
1,11|36|41,187,331,331|43,331|43,0.0002666666666666667,0.4445222222222222
1,11|36|42,187,24,24|350,24|350,0.0002666666666666667,0.4445222222222222
1,11|36|43,187,313,313|61,313|61,0.0002666666666666667,0.4445222222222222
1,11|37|38,187,295,295|79,295|79,0.0002666666666666667,0.4445222222222222
1,11|39|43,187,126,126|248,126|248,0.0002666666666666667,0.4445222222222222
1,11|40|42,187,109,109|265,109|265,0.0002666666666666667,0.4445222222222222
1,12|13|14,187,165,165|209,165|209,0.0002666666666666667,0.4445222222222222
1,12|13|19,187,166,166|208,166|208,0.0002666666666666667,0.4445222222222222
1,12|13|24,187,15,15|359,15|359,0.0002666666666666667,0.4445222222222222
1,12|13|27,187,166,166|208,166|208,0.0002666666666666667,0.4445222222222222
1,12|13|31,187,165,165|209,165|209,0.0002666666666666667,0.4445222222222222
1,12|13|32,187,15,15|359,15|359,0.0002666666666666667,0.4445222222222222
1,12|13|35,187,165,165|209,165|209,0.0002666666666666667,0.4445222222222222
1,12|14|15,187,75,75|299,75|299,0.0002666666666666667,0.4445222222222222
1,12|14|16,187,231,231|143,231|143,0.0002666666666666667,0.4445222222222222
1,12|14|23,187,343,343|31,343|31,0.0002666666666666667,0.4445222222222222
1,12|14|25,187,231,231|143,231|143,0.0002666666666666667,0.4445222222222222
1,12|14|28,187,231,231|143,231|143,0.0002666666666666667,0.4445222222222222
1,12|14|30,187,178,178|196,178|196,0.0002666666666666667,0.4445222222222222
1,12|14|31,187,165,165|209,165|209,0.0002666666666666667,0.4445222222222222
1,12|14|35,187,165,165|209,165|209,0.0002666666666666667,0.4445222222222222
1,12|14|40,187,75,75|299,75|299,0.0002666666666666667,0.4445222222222222
1,12|14|41,187,343,343|31,343|31,0.0002666666666666667,0.4445222222222222
1,12|15|20,187,371,371|3,371|3,0.0002666666666666667,0.4445222222222222
1,12|15|27,187,216,216|158,216|158,0.0002666666666666667,0.4445222222222222
1,12|15|29,187,46,46|328,46|328,0.0002666666666666667,0.4445222222222222
1,12|15|35,187,216,216|158,216|158,0.0002666666666666667,0.4445222222222222
1,12|15|39,187,46,46|328,46|328,0.0002666666666666667,0.4445222222222222
1,12|15|40,187,75,75|299,75|299,0.0002666666666666667,0.4445222222222222
2,12|15|41,124,46,46|292|36,46|292|36,0.0005333333333333334,0.44461111111111107
1,12|15|42,187,371,371|3,371|3,0.0002666666666666667,0.4445222222222222
1,12|15|43,187,338,338|36,338|36,0.0002666666666666667,0.4445222222222222
1,12|16|22,187,292,292|82,292|82,0.0002666666666666667,0.4445222222222222
1,12|16|24,187,323,323|51,323|51,0.0002666666666666667,0.4445222222222222
1,12|16|25,187,231,231|143,231|143,0.0002666666666666667,0.4445222222222222
2,12|16|28,124,231,231|142|1,231|142|1,0.0005333333333333334,0.44461111111111107
1,12|16|31,187,292,292|82,292|82,0.0002666666666666667,0.4445222222222222
1,12|16|32,187,292,292|82,292|82,0.0002666666666666667,0.4445222222222222
1,12|16|38,187,373,373|1,373|1,0.0002666666666666667,0.4445222222222222
1,12|16|40,187,323,323|51,323|51,0.0002666666666666667,0.4445222222222222
1,12|17|20,187,276,276|98,276|98,0.0002666666666666667,0.4445222222222222
2,12|17|27,124,193,193|42|139,193|42|139,0.0005333333333333334,0.44461111111111107
1,12|17|29,187,193,193|181,193|181,0.0002666666666666667,0.4445222222222222
1,12|17|31,187,280,280|94,280|94,0.0002666666666666667,0.4445222222222222
2,12|17|32,124,193,193|83|98,193|83|98,0.0005333333333333334,0.44461111111111107
1,12|17|41,187,235,235|139,235|139,0.0002666666666666667,0.4445222222222222
1,12|19|20,187,206,206|168,206|168,0.0002666666666666667,0.4445222222222222
1,12|19|27,187,166,166|208,166|208,0.0002666666666666667,0.4445222222222222
1,12|19|30,187,258,258|116,258|116,0.0002666666666666667,0.4445222222222222
1,12|19|32,187,322,322|52,322|52,0.0002666666666666667,0.4445222222222222
2,12|19|33,124,206,206|116|52,206|116|52,0.0005333333333333334,0.44461111111111107
1,12|19|35,187,255,255|119,255|119,0.0002666666666666667,0.4445222222222222
1,12|19|39,187,206,206|168,206|168,0.0002666666666666667,0.4445222222222222
1,12|20|25,187,286,286|88,286|88,0.0002666666666666667,0.4445222222222222
1,12|20|32,187,276,276|98,276|98,0.0002666666666666667,0.4445222222222222
1,12|20|33,187,206,206|168,206|168,0.0002666666666666667,0.4445222222222222
1,12|20|35,187,286,286|88,286|88,0.0002666666666666667,0.4445222222222222
1,12|20|39,187,206,206|168,206|168,0.0002666666666666667,0.4445222222222222
1,12|20|42,187,371,371|3,371|3,0.0002666666666666667,0.4445222222222222
1,12|21|25,187,357,357|17,357|17,0.0002666666666666667,0.4445222222222222
1,12|21|27,187,357,357|17,357|17,0.0002666666666666667,0.4445222222222222
