conteo,tupla,X,L,M,R,T,P,Pr,PrX,PrL,PrM
1,6|22|25|28,197,200,3,200|194,200|194,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|22|25|40,197,200,3,200|194,200|194,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|22|28|40,197,200,3,200|194,200|194,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|22|30|42,197,2,195,2|392,2|392,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|22|33|36,197,195,2,195|199,195|199,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|22|33|41,197,195,2,195|199,195|199,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|22|36|41,197,195,2,195|199,195|199,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|23|25|38,197,226,29,226|168,226|168,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|23|25|41,197,145,52,145|249,145|249,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|23|27|32,197,317,120,317|77,317|77,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|23|31|34,197,284,87,284|110,284|110,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|24|39|43,197,192,5,192|202,192|202,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|25|27|43,197,301,104,301|93,301|93,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|25|28|36,197,392,195,392|2,392|2,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|25|28|40,197,200,3,200|194,200|194,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|25|29|42,197,103,94,103|291,103|291,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|27|32|40,197,155,42,155|239,155|239,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|27|32|42,197,155,42,155|239,155|239,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|27|40|42,197,155,42,155|239,155|239,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|29|34|41,197,154,43,154|240,154|240,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|29|34|42,197,154,43,154|240,154|240,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|29|37|39,197,17,180,17|377,17|377,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|29|37|43,197,17,180,17|377,17|377,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|29|39|43,197,17,180,17|377,17|377,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|29|41|42,197,154,43,154|240,154|240,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|31|32|41,197,267,70,267|127,267|127,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|32|34|42,197,361,164,361|33,361|33,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|32|40|42,197,155,42,155|239,155|239,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
2,6|33|36|41,131,195,64,195|41|158,195|41|158,0.0010126582278481013,0.6670042194092827,1.0,1.0,0.0010126582278481013
1,6|34|40|43,197,30,167,30|364,30|364,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|34|41|42,197,154,43,154|240,154|240,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|37|39|43,197,17,180,17|377,17|377,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|7|12|37,197,391,194,391|3,391|3,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|7|27|34,197,188,9,188|206,188|206,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|7|28|32,197,66,131,66|328,66|328,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|7|8|27,197,188,9,188|206,188|206,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|7|8|34,197,188,9,188|206,188|206,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|13|14,197,197,0,197,197|197,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|13|28,197,151,46,151|243,151|243,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
2,6|8|13|29,131,151,20,151|173|70,151|173|70,0.0010126582278481013,0.6670042194092827,1.0,1.0,0.0010126582278481013
1,6|8|13|31,197,324,127,324|70,324|70,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|13|37,197,197,0,197,197|197,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|14|37,197,197,0,197,197|197,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|15|32,197,1,196,1|393,1|393,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|15|33,197,1,196,1|393,1|393,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|27|34,197,188,9,188|206,188|206,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|28|29,197,151,46,151|243,151|243,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|29|31,197,324,127,324|70,324|70,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|8|32|33,197,1,196,1|393,1|393,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|9|15|37,197,368,171,368|26,368|26,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|9|15|42,197,368,171,368|26,368|26,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|9|37|42,197,368,171,368|26,368|26,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|9|39|42,197,306,109,306|88,306|88,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|10|24|31,197,318,121,318|76,318|76,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|10|24|43,197,318,121,318|76,318|76,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|10|25|27,197,107,90,107|287,107|287,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|10|31|43,197,318,121,318|76,318|76,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|10|36|41,197,295,98,295|99,295|99,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|16|23,197,237,40,237|157,237|157,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|16|30,197,51,146,51|343,51|343,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|16|35,197,51,146,51|343,51|343,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|19|25,197,210,13,210|184,210|184,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|23|41,197,353,156,353|41,353|41,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|23|43,197,353,156,353|41,353|41,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|30|35,197,51,146,51|343,51|343,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|39|41,197,220,23,220|174,220|174,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|11|41|43,197,353,156,353|41,353|41,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|12|12|40,197,83,114,83|311,83|311,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|12|19|21,197,372,175,372|22,372|22,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|12|26|43,197,277,80,277|117,277|117,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|14|16|18,197,77,120,77|317,77|317,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|14|16|36,197,77,120,77|317,77|317,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|14|18|27,197,14,183,14|380,14|380,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|14|18|28,197,14,183,14|380,14|380,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|14|18|36,197,77,120,77|317,77|317,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,7|14|19|22,197,202,5,202|192,202|192,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
