conteo,tupla,X,L,M,T
1,20|23|35|36,176.0,204,204|148,204|148
1,20|23|35|41,176.0,204,204|148,204|148
1,20|23|36|41,176.0,204,204|148,204|148
1,20|24|25|39,176.0,182,182|170,182|170
1,20|24|31|33,176.0,336,336|16,336|16
1,20|24|34|43,176.0,56,56|296,56|296
1,20|25|27|43,176.0,259,259|93,259|93
1,20|25|28|30,176.0,115,115|237,115|237
1,20|25|29|43,176.0,296,296|56,296|56
1,20|25|37|43,176.0,331,331|21,331|21
1,20|26|29|40,176.0,338,338|14,338|14
1,20|27|30|38,176.0,173,173|179,173|179
1,20|28|35|40,176.0,298,298|54,298|54
1,20|29|32|34,176.0,148,148|204,148|204
1,20|29|32|37,176.0,148,148|204,148|204
1,20|29|33|40,176.0,229,229|123,229|123
1,20|29|34|37,176.0,148,148|204,148|204
1,20|32|34|37,176.0,148,148|204,148|204
1,20|32|36|40,176.0,191,191|161,191|161
1,20|33|34|40,176.0,339,339|13,339|13
1,20|33|36|41,176.0,194,194|158,194|158
1,20|34|38|39,176.0,196,196|156,196|156
1,20|35|36|41,176.0,204,204|148,204|148
1,20|36|39|43,176.0,348,348|4,348|4
1,20|36|42|43,176.0,251,251|101,251|101
1,21|23|26|37,176.0,100,100|252,100|252
1,21|23|26|43,176.0,100,100|252,100|252
1,21|23|37|43,176.0,100,100|252,100|252
1,21|25|26|31,176.0,290,290|62,290|62
1,21|26|28|36,176.0,345,345|7,345|7
1,21|26|37|43,176.0,100,100|252,100|252
1,21|27|41|43,176.0,198,198|154,198|154
1,21|30|35|36,176.0,73,73|279,73|279
1,21|30|35|41,176.0,73,73|279,73|279
1,21|30|36|41,176.0,73,73|279,73|279
1,21|31|32|39,176.0,299,299|53,299|53
1,21|32|33|34,176.0,223,223|129,223|129
1,21|32|33|37,176.0,223,223|129,223|129
1,21|32|34|37,176.0,223,223|129,223|129
1,21|32|36|37,176.0,63,63|289,63|289
1,21|33|34|37,176.0,223,223|129,223|129
1,21|33|39|43,176.0,76,76|276,76|276
1,21|35|36|41,176.0,73,73|279,73|279
1,22|24|27|37,176.0,23,23|329,23|329
1,22|24|28|34,176.0,297,297|55,297|55
1,22|24|28|42,176.0,297,297|55,297|55
1,22|24|34|42,176.0,297,297|55,297|55
1,22|25|28|40,176.0,158,158|194,158|194
1,22|25|36|37,176.0,111,111|241,111|241
1,22|25|37|43,176.0,331,331|21,331|21
2,22|26|29|36,117.33333333333333,209,209|3|140,209|3|140
1,22|27|40|41,176.0,1,1|351,1|351
1,22|28|34|42,176.0,297,297|55,297|55
1,22|29|32|41,176.0,343,343|9,343|9
1,22|29|38|39,176.0,304,304|48,304|48
1,22|30|31|34,176.0,64,64|288,64|288
1,22|31|32|37,176.0,323,323|29,323|29
1,22|32|37|39,176.0,333,333|19,333|19
1,22|33|36|41,176.0,153,153|199,153|199
1,22|34|36|37,176.0,27,27|325,27|325
1,22|34|36|43,176.0,27,27|325,27|325
1,22|34|37|43,176.0,27,27|325,27|325
1,22|36|37|43,176.0,27,27|325,27|325
1,23|24|29|43,176.0,190,190|162,190|162
1,23|24|32|36,176.0,261,261|91,261|91
1,23|24|34|39,176.0,328,328|24,328|24
1,23|25|26|33,176.0,266,266|86,266|86
1,23|25|29|31,176.0,284,284|68,284|68
1,23|26|30|36,176.0,96,96|256,96|256
1,23|26|32|38,176.0,54,54|298,54|298
1,23|26|37|43,176.0,100,100|252,100|252
1,23|27|29|34,176.0,269,269|83,269|83
1,23|28|29|32,176.0,287,287|65,287|65
1,23|28|33|35,176.0,101,101|251,101|251
1,23|30|33|36,176.0,329,329|23,329|23
1,23|31|35|40,176.0,249,249|103,249|103
1,23|33|36|42,176.0,285,285|67,285|67
1,23|35|36|41,176.0,204,204|148,204|148
1,24|26|33|35,176.0,205,205|147,205|147
1,24|26|35|36,176.0,71,71|281,71|281
1,24|26|35|41,176.0,71,71|281,71|281
1,24|26|36|41,176.0,71,71|281,71|281
1,24|27|32|35,176.0,47,47|305,47|305
1,24|28|34|42,176.0,297,297|55,297|55
1,24|28|36|39,176.0,315,315|37,315|37
1,24|28|36|40,176.0,19,19|333,19|333
1,24|29|30|38,176.0,20,20|332,20|332
1,24|29|34|35,176.0,156,156|196,156|196
1,24|29|34|40,176.0,156,156|196,156|196
1,24|29|35|40,176.0,156,156|196,156|196
1,24|30|37|38,176.0,44,44|308,44|308
1,24|30|37|40,176.0,44,44|308,44|308
1,24|30|38|40,176.0,44,44|308,44|308
1,24|31|32|33,176.0,305,305|47,305|47
1,24|31|32|34,176.0,305,305|47,305|47
1,24|31|33|34,176.0,305,305|47,305|47
1,24|32|33|34,176.0,305,305|47,305|47
1,24|34|35|40,176.0,156,156|196,156|196
1,24|35|36|41,176.0,71,71|281,71|281
1,24|37|38|40,176.0,44,44|308,44|308
1,25|28|31|40,176.0,162,162|190,162|190
1,25|28|37|41,176.0,322,322|30,322|30
1,25|29|35|37,176.0,130,130|222,130|222
1,25|30|36|41,176.0,34,34|318,34|318
1,25|32|33|41,176.0,222,222|130,222|130
1,26|27|28|40,176.0,301,301|51,301|51
1,26|28|29|42,176.0,256,256|96,256|96
1,26|33|34|38,176.0,340,340|12,340|12
1,26|33|34|42,176.0,199,199|153,199|153
1,26|35|36|41,176.0,71,71|281,71|281
1,27|28|41|42,176.0,179,179|173,179|173
1,27|31|34|36,176.0,325,325|27,325|27
1,27|32|40|42,176.0,113,113|239,113|239
1,27|34|37|43,176.0,247,247|105,247|105
1,27|37|38|40,176.0,211,211|141,211|141
1,27|38|40|41,176.0,302,302|50,302|50
1,28|31|32|35,176.0,262,262|90,262|90
1,28|36|37|41,176.0,352,352|0,352|0
