conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
3,14|36,110,122,12,122|77|91|152,122|77|91|152,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
12,9|10,34,22,12,22|12|90|58|2|5|28|40|19|117|24|25|0,22|12|90|58|2|5|28|40|19|117|24|25|0,0.002708803611738149,0.6675696012039127,1.0,1.0,0.002708803611738149
6,5|12,63,51,12,51|34|4|54|73|223|3,51|34|4|54|73|223|3,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
3,15|35,110,98,12,98|114|72|158,98|114|72|158,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
6,14|40,63,76,13,76|47|16|4|179|33|87,76|47|16|4|179|33|87,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,18|20,88,75,13,75|223|49|3|92,75|223|49|3|92,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
6,7|17,63,50,13,50|14|158|25|62|41|92,50|14|158|25|62|41|92,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
2,16|37,147,160,13,160|260|22,160|260|22,0.0004514672686230248,0.6668171557562076,1.0,1.0,0.0004514672686230248
3,7|14,110,123,13,123|114|84|121,123|114|84|121,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
11,5|22,36,23,13,15,23|15|6|41|52|9|62|104|2|74|39|15,0.0024830699774266367,0.6674943566591423,1.0,1.0,0.0024830699774266367
5,6|18,73,86,13,86|51|140|70|23|72,86|51|140|70|23|72,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
4,11|34,88,101,13,101|35|13|183|110,101|35|13|183|110,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
5,10|35,73,86,13,86|162|32|54|83|25,86|162|32|54|83|25,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
8,27|35,49,36,13,36|50|12|48|2|76|60|133|25,36|50|12|48|2|76|60|133|25,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
9,29|32,44,31,13,59,31|59|7|105|59|82|18|5|13|63,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
7,8|31,55,42,13,42|6|59|53|54|45|89|94,42|6|59|53|54|45|89|94,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
