conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
8,3|34,50,36,14,36|8|54|148|62|21|111|1|12,36|8|54|148|62|21|111|1|12,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
3,21|40,113,99,14,99|52|143|159,99|52|143|159,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
7,2|34,56,42,14,42|46|49|98|72|73|58|15,42|46|49|98|72|73|58|15,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
7,2|5,56,42,14,42|53|55|157|13|59|11|63,42|53|55|157|13|59|11|63,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
3,1|26,113,98,15,98|238|83|34,98|238|83|34,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
10,33|34,41,56,15,56|34,56|42|34|168|18|6|56|26|34|1|12,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
4,5|41,90,105,15,105|21|176|16|135,105|21|176|16|135,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
7,22|25,56,71,15,71|37|11|57|36|47|173|21,71|37|11|57|36|47|173|21,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
3,26|34,113,98,15,98|202|141|12,98|202|141|12,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
4,38|41,90,105,15,105|24|217|57|50,105|24|217|57|50,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
3,3|33,113,98,15,98|342|1|12,98|342|1|12,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
4,18|38,90,105,15,105|163|100|35|50,105|163|100|35|50,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
3,20|42,113,97,16,97|255|32|69,97|255|32|69,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
9,1|8,45,29,16,29|52|49|4|19|70|9|10|22|189,29|52|49|4|19|70|9|10|22|189,0.001982378854625551,0.6673274596182085,1.0,1.0,0.001982378854625551
6,31|32,64,48,16,37,48|278|37|37|6|18|29,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
6,27|42,64,48,16,48|125|41|66|58|23|92,48|125|41|66|58|23|92,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
5,13|16,75,59,16,59|45|22|199|17|111,59|45|22|199|17|111,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
7,17|40,56,72,16,18,72|18|56|148|18|62|28|51,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
2,13|36,151,135,16,135|187|131,135|187|131,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
6,31|43,64,48,16,48|7|167|24|131|36|40,48|7|167|24|131|36|40,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
9,8|40,45,29,16,29|6|95|17|83|14|48|2|149|10,29|6|95|17|83|14|48|2|149|10,0.001982378854625551,0.6673274596182085,1.0,1.0,0.001982378854625551
10,29|42,41,24,17,80|21,24|2|11|80|45|51|21|43|80|21|75,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
6,11|16,64,47,17,47|53|10|90|41|55|157,47|53|10|90|41|55|157,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
5,4|21,75,58,17,58|7|175|95|36|82,58|7|175|95|36|82,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
11,20|43,37,54,17,8,54|95|8|35|61|99|8|37|16|19|17|4,0.002422907488986784,0.6674743024963289,1.0,1.0,0.002422907488986784
8,7|23,50,67,17,67|20|28|70|111|116|17|1|23,67|20|28|70|111|116|17|1|23,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
5,21|27,75,58,17,58|41|32|168|90|64,58|41|32|168|90|64,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
8,23|35,50,67,17,67|13|105|17|103|36|9|54|49,67|13|105|17|103|36|9|54|49,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
5,11|25,75,92,17,92|27|150|62|56|66,92|27|150|62|56|66,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
8,16|30,50,33,17,33,33|5|66|6|115|61|33|10|124,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
4,7|27,90,73,17,73|13|80|81|206,73|13|80|81|206,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
4,14|27,90,73,17,73|156|119|41|64,73|156|119|41|64,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
5,3|11,75,92,17,92|147|30|10|77|97,92|147|30|10|77|97,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
4,18|27,90,73,17,73|110|3|217|50,73|110|3|217|50,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
6,20|24,64,46,18,46|111|126|36|14|104|16,46|111|126|36|14|104|16,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
4,26|28,90,72,18,72|285|45|44|7,72|285|45|44|7,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
6,25|40,64,82,18,82|148|29|4|31|134|25,82|148|29|4|31|134|25,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
5,40|42,75,93,18,93|4|20|97|48|191,93|4|20|97|48|191,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
5,4|27,75,57,18,57|1|184|119|9|83,57|1|184|119|9|83,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
8,1|23,50,69,19,69|14|12|35|103|33|30|119|38,69|14|12|35|103|33|30|119|38,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
3,26|30,113,94,19,94|103|28|228,94|103|28|228,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
