conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,7|20|42,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,20|36|42,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,26|30|39,229,100,129,100|359,100|359,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,7|20|36,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,7|20|43,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,7|36|43,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,29|30|39,229,100,129,100|359,100|359,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,22|28|32,153,24,129,24|255|180,24|255|180,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,6|28|36,153,24,129,24|433|2,24|433|2,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,20|42|43,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,36|42|43,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,26|29|30,229,100,129,100|359,100|359,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,22|26|30,229,100,129,100|359,100|359,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,6|28|32,153,24,129,24|107|328,24|107|328,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,7|36|42,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,7|42|43,229,358,129,358|101,358|101,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
