conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,3|19|37|43,226,44,182,44|409,44|409,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|21|28,226,112,114,112|341,112|341,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|22|24,226,333,107,333|120,333|120,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|22|36,226,333,107,333|120,333|120,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|23|25,226,252,26,252|201,252|201,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|24|36,226,333,107,333|120,333|120,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|25|37,226,237,11,237|216,237|216,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|30|39,226,198,28,198|255,198|255,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|33|34,226,440,214,440|13,440|13,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|33|40,226,440,214,440|13,440|13,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|20|34|40,226,440,214,440|13,440|13,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|22|24|36,226,333,107,333|120,333|120,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|22|26|29,226,313,87,313|140,313|140,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|22|26|36,226,313,87,313|140,313|140,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|22|28|37,226,317,91,317|136,317|136,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|22|29|36,226,313,87,313|140,313|140,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|22|40|41,226,250,24,250|203,250|203,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|23|25|38,226,285,59,285|168,285|168,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|23|28|29,226,388,162,388|65,388|65,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|23|28|32,226,388,162,388|65,388|65,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|23|29|32,226,388,162,388|65,388|65,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|23|30|35,226,185,41,185|268,185|268,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|23|31|35,226,350,124,350|103,350|103,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|23|31|40,226,350,124,350|103,350|103,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|23|35|40,226,350,124,350|103,350|103,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|24|25|26,226,218,8,218|235,218|235,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|25|28|40,226,230,4,230|223,230|223,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|25|30|42,226,39,187,39|414,39|414,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|25|39|42,226,238,12,238|215,238|215,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|26|29|36,226,313,87,313|140,313|140,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
2,3|26|33|34,151,98,53,98|343|12,98|343|12,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
