conteo,tupla,X,L,M,T
1,24|31|33|34,180.0,313,313|47,313|47
1,24|32|33|34,180.0,313,313|47,313|47
1,24|34|35|40,180.0,164,164|196,164|196
1,24|35|36|41,180.0,79,79|281,79|281
1,24|37|38|40,180.0,52,52|308,52|308
1,25|28|31|40,180.0,170,170|190,170|190
1,25|28|37|41,180.0,330,330|30,330|30
1,25|29|35|37,180.0,138,138|222,138|222
1,25|30|36|41,180.0,42,42|318,42|318
1,25|32|33|41,180.0,230,230|130,230|130
1,26|27|28|40,180.0,309,309|51,309|51
1,26|28|29|42,180.0,264,264|96,264|96
1,26|29|30|39,180.0,1,1|359,1|359
1,26|33|34|38,180.0,348,348|12,348|12
1,26|33|34|42,180.0,207,207|153,207|153
1,26|35|36|41,180.0,79,79|281,79|281
1,27|28|41|42,180.0,187,187|173,187|173
1,27|31|34|36,180.0,333,333|27,333|27
1,27|32|40|42,180.0,121,121|239,121|239
1,27|34|37|43,180.0,255,255|105,255|105
1,27|37|38|40,180.0,219,219|141,219|141
1,27|38|40|41,180.0,310,310|50,310|50
1,28|31|32|35,180.0,270,270|90,270|90
1,28|36|37|41,180.0,360,360|0,360|0
1,28|37|42|43,180.0,75,75|285,75|285
1,29|30|40|42,180.0,24,24|336,24|336
1,29|32|34|37,180.0,156,156|204,156|204
1,29|33|34|39,180.0,39,39|321,39|321
1,29|34|35|40,180.0,164,164|196,164|196
1,29|34|41|42,180.0,120,120|240,120|240
1,30|32|38|41,180.0,36,36|324,36|324
1,30|32|40|42,180.0,0,0|360,0|360
1,30|35|36|41,180.0,81,81|279,81|279
1,30|35|37|40,180.0,288,288|72,288|72
1,30|37|38|40,180.0,52,52|308,52|308
1,31|32|33|34,180.0,313,313|47,313|47
1,32|33|34|37,180.0,231,231|129,231|129
1,33|34|41|43,180.0,225,225|135,225|135
1,34|36|37|43,180.0,35,35|325,35|325
1,34|37|39|41,180.0,273,273|87,273|87
1,37|38|39|41,180.0,253,253|107,253|107
